web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775626062-1","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Tata Sampann High Fibre Thick Poha (Motta Poha)","500 g","₹55","₹60","8%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/964fcd6b-6055-42f3-815a-68584956aee2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-2","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","JK Thick Poha (Motta Poha)","500 g","₹61","₹64","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/81722622-9380-4edc-91d2-aff4b83ec8db.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-3","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Ganesh Daliya","500 g","₹51","","","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/cab30276-511b-4d4e-9e39-85c912bf4b0d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-4","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Whole Farm Grocery Thick Poha / Avalakki (Motta Poha)","500 g","₹30","₹68","55%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3e5e6fb1-a9d7-46bd-b6c3-8efe1f38d7e3.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-5","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Whole Farm Premium Sabudana Sago (Boro Sabudana)","500 g","₹41","₹89","53%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/474243cf-f10c-4fc7-b2b9-270799337b9f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-6","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Whole Farm Premium Thin Poha (Patar Poha)","500 g","₹35","₹75","53%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f316cc3c-c748-4172-b39c-5f1e12b17b89.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-7","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Whole Farm Premium Wheat Daliya/Lapsi","500 g","₹35","₹69","49%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/891bb30e-4970-41ad-af74-209b18c1a19c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-8","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Tata Sampann High In Fibre Poha (Thick) (Motta Poha)","1 kg","₹95","₹119","20%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/23e13b81-7673-4a62-948c-4c5d77d8b77b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-9","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","JK Sabudana/Badadana/Sago (Boro Sabudana)","250 g","₹37","₹50","26%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c445c3f0-7976-4ddd-8cbb-bc610be8af9b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775626062-10","https://blinkit.com/cn/atta-rice-dal/poha-daliya-other-grains/cid/16/1295","Whole Farm Premium Fiber Rich Thick Poha (Motta Poha)","500 g","₹30","₹68","55%
OFF","12 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6ebf3068-b4d7-485d-9dfa-78eda3afcadc.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
